description,category
Dust and stones on road blocking lane block.,Road Department
"Tap connection broken, water continuously leaking water.",Water Supply Department
Main road blocked after heavy rain block.,Road Department
"Transformer burst near main road, area in darkness electricity.",Electric Department
Old apartment wall cracked and plaster falling building.,Building Department
Electric poles leaning after heavy wind electric.,Electric Department
Footpath damaged and debris blocking walkway block.,Road Department
Garbage heap near market creating pollution waste.,Sanitation Department
Water leakage near main valve causing loss water.,Water Supply Department
Broken plaster on house walls after monsoon building.,Building Department
"sewage backflow in washrooms, needs urgent cleaning sewerage. please fix soon.",Sewerage Department
Footpath damaged and debris blocking walkway block.,Road Department
Potholes filled with rainwater making travel hard block.,Road Department
Road under construction blocking vehicle passage block.,Road Department
broken road surface creating traffic jams block.,Road Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
Dust and stones on road blocking lane block.,Road Department
Power outage in the locality due to cable fault electricity.,Electric Department
Plastic waste blocking drainage near school drainage. please fix soon.,Sanitation Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
"Low water pressure at taps, tanks not filling water.",Water Supply Department
No water supply since morning water. please fix soon.,Water Supply Department
"Pipeline burst, wasting clean water water.",Water Supply Department
Transformer overloaded and making loud noise electric.,Electric Department
Broken road surface creating traffic jams block. please fix soon.,Road Department
Broken plaster on house walls after monsoon building.,Building Department
Tap water dirty and smells bad water.,Water Supply Department
There are cracks appearing near the admin building in our college building.,Building Department
Sewer line blocked causing overflow sewerage.,Sewerage Department
Potholes on road causing vehicle damage block.,Road Department
Building foundation sinking due to rainwater damage building.,Building Department
Manhole overflowing with dirty water sewerage.,Sewerage Department
Waste dumped openly on roadside attracting animals garbage. please fix soon.,Sanitation Department
Dust and stones on road blocking lane block.,Road Department
Dust and stones on road blocking lane block.,Road Department
power outage in the locality due to cable fault electricity.,Electric Department
Sewer water entering shops after rain sewerage.,Sewerage Department
Footpath damaged and debris blocking walkway block.,Road Department
Main road blocked after heavy rain block.,Road Department
Cracked road surface needs urgent repair block.,Road Department
foul odor spreading from manhole sewerage.,Sewerage Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
"Tap connection broken, water continuously leaking water. please fix soon.",Water Supply Department
"Drain clogged after rain, water stagnating drainage.",Sanitation Department
Tap water dirty and smells bad water.,Water Supply Department
old apartment wall cracked and plaster falling building.,Building Department
"Construction of the flat left incomplete, wall broken building.",Building Department
Overflowing drain flooding nearby roads drainage.,Sanitation Department
Garbage heap near market creating pollution waste.,Sanitation Department
Old apartment wall cracked and plaster falling building.,Building Department
No power supply in our colony since yesterday electricity.,Electric Department
Road under construction blocking vehicle passage block.,Road Department
Broken road surface creating traffic jams block.,Road Department
"Construction of the flat left incomplete, wall broken building.",Building Department
Overflowing drain flooding nearby roads drainage.,Sanitation Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
Potholes on road causing vehicle damage block.,Road Department
Cracks in the roof and pillars after the storm building.,Building Department
There are cracks appearing near the admin building in our college building.,Building Department
"Ceiling leaking during heavy rain, unsafe for residents building.",Building Department
"Street light bulb fused, road dark at night electric.",Electric Department
"Pipeline burst, wasting clean water water.",Water Supply Department
Garbage heap near market creating pollution waste.,Sanitation Department
Overflowing dustbins attracting flies and mosquitoes garbage.,Sanitation Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
