description,category
Pillar support weakened near the building entrance.,Building Department
"Balcony railing about to fall, unsafe for residents.",Building Department
Metal railing rusted and needs immediate replacement.,Building Department
Electric pole rusted and about to fall.,Electric Department
No proper marking on lanes leading to confusion.,Road Department
"Staircase railing loose, might fall anytime.",Building Department
Manhole cover missing on main road.,Road Department
"Street lights flickering, poor visibility on road.",Electric Department
"Balcony railing about to fall, unsafe for residents.",Building Department
"Railing on stairs shaking, needs urgent welding.",Building Department
Cracks observed on the pillars of the building.,Building Department
Street light connection cut off by windstorm. please resolve quickly.,Electric Department
Railing missing from the top floor staircase.,Building Department
Broken road sign near the intersection.,Road Department
Sharp turn without warning board on road.,Road Department
"Railing on stairs shaking, needs urgent welding.",Building Department
Vehicles skidding on damaged road surface.,Road Department
"Staircase railing loose, might fall anytime.",Building Department
"Speed hump unpainted, not visible at night.",Road Department
"transformer oil leaking, risk of fire.",Electric Department
"Road sign bent, hard to read by drivers. please resolve quickly.",Road Department
Street light not functioning for several days.,Electric Department
"Transformer box open, causing safety issue.",Electric Department
Loose electric wires hanging near footpath.,Electric Department
Current pole damaged after heavy rain.,Electric Department
Sharp turn without warning board on road.,Road Department
Footpath construction debris blocking lane.,Road Department
Electric pole short circuit causing sparks. please resolve quickly.,Electric Department
Electric wires lying on ground after storm.,Electric Department
Broken staircase posing safety risk for students.,Building Department
Loose electric wires hanging near footpath.,Electric Department
"Pillar in the corridor has cracks, needs repair.",Building Department
Broken staircase posing safety risk for students.,Building Department
"Railing on stairs shaking, needs urgent welding.",Building Department
"Electric pole bent, may collapse anytime.",Electric Department
"Pillar in the corridor has cracks, needs repair.",Building Department
Cracks observed on the pillars of the building.,Building Department
"Pillar in the corridor has cracks, needs repair.",Building Department
transformer making loud noise at night.,Electric Department
Ceiling plaster near staircase falling off.,Building Department
Damaged staircase handrail requires maintenance.,Building Department
Street light not functioning for several days.,Electric Department
Unmarked speed breakers causing accidents.,Road Department
No proper marking on lanes leading to confusion.,Road Department
"Balcony railing about to fall, unsafe for residents.",Building Department
Power line snapped due to fallen tree.,Electric Department
Metal railing rusted and needs immediate replacement.,Building Department
Footpath near main road broken and uneven.,Road Department
Speed breakers are not marked properly and vehicles are slipping. please resolve quickly.,Road Department
Building railing completely detached after storm.,Building Department
Faded zebra crossing near traffic signal.,Road Department
Road full of potholes making driving difficult.,Road Department
Footpath near main road broken and uneven. please resolve quickly.,Road Department
Broken staircase posing safety risk for students.,Building Department
Cracks observed on the pillars of the building.,Building Department
Pillar support weakened near the building entrance.,Building Department
Broken staircase steps making it unsafe to climb.,Building Department
"Electric pole bent, may collapse anytime.",Electric Department
"Transformer oil leaking, risk of fire.",Electric Department
Speed bump cracked and uneven for vehicles.,Road Department
No power supply due to faulty street lights.,Electric Department
"Speed hump unpainted, not visible at night. please resolve quickly.",Road Department
Vehicles slipping on oil spill on road surface.,Road Department
Sharp turn without warning board on road.,Road Department
Electric pole short circuit causing sparks.,Electric Department
street light damaged during maintenance.,Electric Department
"Transformer not working, area dark at night.",Electric Department
Street light connection cut off by windstorm.,Electric Department
Vehicles skidding on damaged road surface.,Road Department
Street light not functioning for several days.,Electric Department
Footpath construction debris blocking lane.,Road Department
electric pole short circuit causing sparks.,Electric Department
unmarked speed breakers causing accidents.,Road Department
Vehicles skidding on damaged road surface. please resolve quickly.,Road Department
Broken staircase steps making it unsafe to climb.,Building Department
Staircase railing bent and unsafe for use.,Building Department
"Balcony railing about to fall, unsafe for residents.",Building Department
Metal railing rusted and needs immediate replacement.,Building Department
wall near staircase developing cracks.,Building Department
"Street light bulb fused, needs replacement.",Electric Department
Balcony grill broken and dangerous for children.,Building Department
"Street lights flickering, poor visibility on road.",Electric Department
Rusted railing causing safety hazard in building.,Building Department
"Railing on stairs shaking, needs urgent welding.",Building Department
Electric pole leaning dangerously near road.,Electric Department
"transformer oil leaking, risk of fire.",Electric Department
Sharp turn without warning board on road.,Road Department
"Staircase railing loose, might fall anytime.",Building Department
Transformer making loud noise at night. please resolve quickly.,Electric Department
"Balcony railing damaged, risk of falling.",Building Department
Road divider damaged after vehicle collision.,Road Department
Speed bump cracked and uneven for vehicles.,Road Department
No proper marking on lanes leading to confusion.,Road Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Railing missing from the top floor staircase.,Building Department
"Pillar in the corridor has cracks, needs repair.",Building Department
Vehicles losing balance due to rough patches.,Road Department
"Balcony railing about to fall, unsafe for residents.",Building Department
Sharp turn without warning board on road.,Road Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
No power supply due to faulty street lights.,Electric Department
"Balcony railing about to fall, unsafe for residents.",Building Department
Damaged staircase handrail requires maintenance.,Building Department
Broken road sign near the intersection.,Road Department
"Railing on stairs shaking, needs urgent welding.",Building Department
Current pole damaged after heavy rain.,Electric Department
Pillar support weakened near the building entrance.,Building Department
Cracks observed on the pillars of the building.,Building Department
street lights have been off for the past week.,Electric Department
street lights have been off for the past week.,Electric Department
"Balcony railing about to fall, unsafe for residents.",Building Department
"Transformer not working, area dark at night.",Electric Department
Sharp turn without warning board on road.,Road Department
"Roadside barrier damaged, risk of falling vehicles.",Road Department
Vehicles losing balance due to rough patches.,Road Department
Vehicles skidding on damaged road surface.,Road Department
Vehicles skidding on damaged road surface. please resolve quickly.,Road Department
Cracks observed on the pillars of the building.,Building Department
Street light damaged during maintenance. please resolve quickly.,Electric Department
Manhole cover missing on main road.,Road Department
Road construction incomplete for several weeks.,Road Department
"Railing on stairs shaking, needs urgent welding.",Building Department
Railing missing from the top floor staircase.,Building Department
Cracks observed on the pillars of the building.,Building Department
Road full of potholes making driving difficult.,Road Department
"Transformer oil leaking, risk of fire.",Electric Department
vehicles losing balance due to rough patches.,Road Department
Broken staircase steps making it unsafe to climb. please resolve quickly.,Building Department
Metal railing rusted and needs immediate replacement. please resolve quickly.,Building Department
