description,category
Current pole broken due to vehicle accident.,Electric Department
"Electric pole base rusted, leaning dangerously.",Electric Department
"main  water  valve  broken,  causing  wastage  across  the  street.",Water Supply Department
"Low water pressure in our area since last night, can't fill tanks.",Water Supply Department
Blocked drainage causing bad smell and mosquitoes in our area.,Sanitation Department
A major water leakage from the main pipe is flooding the street.,Water Supply Department
"Drainage line blocked after rain, area completely flooded.",Sanitation Department
Bad smell from open drain causing trouble to residents.,Sanitation Department
"Transformer exploded due to overload, blackout in locality.",Electric Department
Drain filled with plastic waste and stagnant water.,Sanitation Department
"Short circuit in electric pole, immediate repair needed.",Electric Department
"No water supply since morning, taps are completely dry.",Water Supply Department
"Water leaking through broken joints, flooding nearby houses.",Water Supply Department
Broken wires from poles causing sparks near house. please resolve urgently.,Electric Department
Water supply irregular and sometimes completely stopped.,Water Supply Department
"Transformer overloaded, making loud buzzing noise.",Electric Department
"Street light bulbs fused, no lighting at all.",Electric Department
People facing shortage due to leaking water pipelines. please resolve urgently.,Water Supply Department
"Plastic blocking drainage, mosquitoes breeding in stagnant water.",Sanitation Department
Electric wires hanging dangerously near footpath.,Electric Department
Street full of garbage and drain clogged with waste.,Sanitation Department
Pipeline burst and water is flowing on the road continuously. please resolve urgently.,Water Supply Department
"Transformer exploded due to overload, blackout in locality.",Electric Department
"Drain near school flooded with waste water, unsafe for kids. please resolve urgently.",Sanitation Department
Drain water entering houses due to poor sanitation cleaning.,Sanitation Department
"Plastic blocking drainage, mosquitoes breeding in stagnant water.",Sanitation Department
"No water supply since morning, taps are completely dry.",Water Supply Department
"Street light bulbs fused, no lighting at all.",Electric Department
"Plastic blocking drainage, mosquitoes breeding in stagnant water.",Sanitation Department
"Street  light  bulbs  fused,  no  lighting  at  all.",Electric Department
tap water is muddy and leaking constantly from the connection.,Water Supply Department
electric wires hanging dangerously near footpath.,Electric Department
"Garbage lying in open near drainage, health hazard for residents.",Sanitation Department
Blocked drains spreading bad odor throughout neighborhood.,Sanitation Department
"Tap water smells bad and looks brown, probably pipeline rust.",Water Supply Department
"Electric pole base rusted, leaning dangerously.",Electric Department
Bad smell from open drain causing trouble to residents.,Sanitation Department
Tap water is muddy and leaking constantly from the connection.,Water Supply Department
"No water supply since morning, taps are completely dry.",Water Supply Department
Overflowing drainage mixing with rainwater on streets.,Sanitation Department
"No water supply after valve maintenance, tanks empty. please resolve urgently.",Water Supply Department
Current pole broken due to vehicle accident. please resolve urgently.,Electric Department
"Short circuit in electric pole, immediate repair needed.",Electric Department
People facing shortage due to leaking water pipelines.,Water Supply Department
"Drain cleaning required urgently, water not flowing properly.",Sanitation Department
Electric wires hanging dangerously near footpath.,Electric Department
Current  pole  broken  due  to  vehicle  accident.,Electric Department
"Drain near school flooded with waste water, unsafe for kids.",Sanitation Department
Tap water is muddy and leaking constantly from the connection.,Water Supply Department
"electric lines snapped during rain, danger to pedestrians.",Electric Department
"Tap connection broken, water continuously leaking.",Water Supply Department
"Electric pole fallen after rain, wires lying on the ground.",Electric Department
"Drain cleaning required urgently, water not flowing properly.",Sanitation Department
"Garbage dumped near the drainage, blocking water flow.",Sanitation Department
"Garbage dumped near the drainage, blocking water flow. please resolve urgently.",Sanitation Department
"Transformer overloaded, making loud buzzing noise.",Electric Department
"Tap connection broken, water continuously leaking.",Water Supply Department
Bad smell from open drain causing trouble to residents.,Sanitation Department
"Tap water smells bad and looks brown, probably pipeline rust.",Water Supply Department
"electric  pole  fallen  after  rain,  wires  lying  on  the  ground.",Electric Department
"Transformer  overloaded,  making  loud  buzzing  noise.",Electric Department
"street  light  bulbs  fused,  no  lighting  at  all.",Electric Department
Electric  wires  hanging  dangerously  near  footpath.,Electric Department
Drain filled with plastic waste and stagnant water.,Sanitation Department
Overflowing drainage mixing with rainwater on streets.,Sanitation Department
"Drain near school flooded with waste water, unsafe for kids. please resolve urgently.",Sanitation Department
"No water supply after valve maintenance, tanks empty.",Water Supply Department
Electric current poles tilted after strong winds.,Electric Department
"Electric transformer leaking oil, may catch fire soon.",Electric Department
"Drain near school flooded with waste water, unsafe for kids.",Sanitation Department
Overflowing drainage mixing with rainwater on streets.,Sanitation Department
People facing shortage due to leaking water pipelines.,Water Supply Department
"Plastic  blocking  drainage,  mosquitoes  breeding  in  stagnant  water.",Sanitation Department
Overflowing garbage truck not collected for days.,Sanitation Department
uncollected waste blocking drainage flow in the colony.,Sanitation Department
"Street lights not working at night, area dark and unsafe.",Electric Department
Overflowing drainage mixing with rainwater on streets.,Sanitation Department
Electric current poles tilted after strong winds.,Electric Department
Bad smell from open drain causing trouble to residents. please resolve urgently.,Sanitation Department
Water supply irregular and sometimes completely stopped.,Water Supply Department
"Electric lines snapped during rain, danger to pedestrians.",Electric Department
The water pipes have been leaking in our area for three days.,Water Supply Department
Water  leaking  from  underground  pipes  near  our  building.,Water Supply Department
Pipeline leak causing swamp in the street area.,Water Supply Department
Transformer burst causing spark and blackout in area.,Electric Department
"Garbage scattered everywhere, no sweeper for several days.",Sanitation Department
People facing shortage due to leaking water pipelines.,Water Supply Department
"Street light bulbs fused, no lighting at all.",Electric Department
current pole broken due to vehicle accident.,Electric Department
"Power supply unstable, frequent voltage drops noticed.",Electric Department
"Drainage line blocked after rain, area completely flooded.",Sanitation Department
Power fluctuation damaging television and appliances.,Electric Department
drain water entering houses due to poor sanitation cleaning. please resolve urgently.,Sanitation Department
Broken wires from poles causing sparks near house.,Electric Department
"Drainage cleaning not done for weeks, water stagnating.",Sanitation Department
"Garbage dumped near the drainage, blocking water flow.",Sanitation Department
Water leaking from underground pipes near our building.,Water Supply Department
"Electric pole base rusted, leaning dangerously. please resolve urgently.",Electric Department
"Transformer exploded due to overload, blackout in locality.",Electric Department
Drain filled with plastic waste and stagnant water.,Sanitation Department
Pipeline burst and water is flowing on the road continuously.,Water Supply Department
Water  supply  irregular  and  sometimes  completely  stopped.,Water Supply Department
A major water leakage from the main pipe is flooding the street.,Water Supply Department
Overflowing bins and waste dumped near the drainage line.,Sanitation Department
"water pipe cracked during maintenance, needs repair.",Water Supply Department
Bad smell from open drain causing trouble to residents.,Sanitation Department
"Transformer exploded due to overload, blackout in locality. please resolve urgently.",Electric Department
"Water pipe cracked during maintenance, needs repair.",Water Supply Department
"Low water pressure in our area since last night, can't fill tanks.",Water Supply Department
"Electric pole fallen after rain, wires lying on the ground.",Electric Department
Uncollected waste blocking drainage flow in the colony.,Sanitation Department
"Drainage line blocked after rain, area completely flooded.",Sanitation Department
Power outage since morning due to transformer failure. please resolve urgently.,Electric Department
Current pole broken due to vehicle accident.,Electric Department
"Drainage  cleaning  not  done  for  weeks,  water  stagnating.",Sanitation Department
Drain water entering houses due to poor sanitation cleaning.,Sanitation Department
"Pipeline burst due to high pressure, water gushing out.",Water Supply Department
"Tap water smells bad and looks brown, probably pipeline rust.",Water Supply Department
People facing shortage due to leaking water pipelines.,Water Supply Department
"drainage cleaning not done for weeks, water stagnating.",Sanitation Department
"drain near school flooded with waste water, unsafe for kids.",Sanitation Department
"Electric pole fallen after rain, wires lying on the ground.",Electric Department
Electric wires hanging dangerously near footpath. please resolve urgently.,Electric Department
Power fluctuation damaging television and appliances.,Electric Department
Transformer burst causing spark and blackout in area.,Electric Department
Overflowing  drainage  mixing  with  rainwater  on  streets. please resolve urgently.,Sanitation Department
Current pole broken due to vehicle accident.,Electric Department
"Main water valve broken, causing wastage across the street. please resolve urgently.",Water Supply Department
"water  pipe  cracked  during  maintenance,  needs  repair. please resolve urgently.",Water Supply Department
Water supply interrupted since yesterday due to damaged valve.,Water Supply Department
"Electric pole fallen after rain, wires lying on the ground.",Electric Department
"Drain cleaning required urgently, water not flowing properly.",Sanitation Department
"Power supply unstable, frequent voltage drops noticed.",Electric Department
"Drain near school flooded with waste water, unsafe for kids.",Sanitation Department
"Short circuit in electric pole, immediate repair needed.",Electric Department
Broken wires from poles causing sparks near house.,Electric Department
The drainage is overflowing due to heavy rain and garbage.,Sanitation Department
"Tap  connection  broken,  water  continuously  leaking.",Water Supply Department
Power outage since morning due to transformer failure.,Electric Department
The water pipes have been leaking in our area for three days.,Water Supply Department
"Drainage system clogged after rainfall, unhygienic condition.",Sanitation Department
water supply interrupted since yesterday due to damaged valve.,Water Supply Department
Electric wires hanging dangerously near footpath.,Electric Department
"Transformer overloaded, making loud buzzing noise.",Electric Department
Overflowing  drainage  mixing  with  rainwater  on  streets.,Sanitation Department
"Garbage scattered everywhere, no sweeper for several days.",Sanitation Department
"Electric pole base rusted, leaning dangerously.",Electric Department
Uncollected waste blocking drainage flow in the colony. please resolve urgently.,Sanitation Department
"Transformer overloaded, making loud buzzing noise.",Electric Department
"Garbage lying in open near drainage, health hazard for residents.",Sanitation Department
"Water pipe cracked during maintenance, needs repair.",Water Supply Department
"No water supply since morning, taps are completely dry.",Water Supply Department
Overflowing bins and waste dumped near the drainage line.,Sanitation Department
Water leaking from underground pipes near our building.,Water Supply Department
"Short circuit in electric pole, immediate repair needed.",Electric Department
"Low water pressure in our area since last night, can't fill tanks. please resolve urgently.",Water Supply Department
bad smell from open drain causing trouble to residents.,Sanitation Department
pipeline  leak  causing  swamp  in  the  street  area.,Water Supply Department
"Tap water smells bad and looks brown, probably pipeline rust.",Water Supply Department
the drainage is overflowing due to heavy rain and garbage.,Sanitation Department
Current pole broken due to vehicle accident.,Electric Department
broken wires from poles causing sparks near house.,Electric Department
"Transformer overloaded, making loud buzzing noise.",Electric Department
"Tap  water  smells  bad  and  looks  brown,  probably  pipeline  rust. please resolve urgently.",Water Supply Department
"Transformer exploded due to overload, blackout in locality.",Electric Department
Water supply irregular and sometimes completely stopped.,Water Supply Department
Broken wires from poles causing sparks near house.,Electric Department
"Plastic  blocking  drainage,  mosquitoes  breeding  in  stagnant  water.",Sanitation Department
Water supply irregular and sometimes completely stopped. please resolve urgently.,Water Supply Department
Water leaking from underground pipes near our building.,Water Supply Department
