description,category
Pillar  has  developed  major  cracks  after  rain.,Building Department
Structural damage visible on the outer wall.,Building Department
manhole overflowing with sewage water.,Sewerage Department
garbage has not been collected for several days.,Sanitation Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Balcony railing rusted and may break.,Building Department
waste  blocking  the  drainage  system.,Sanitation Department
garbage has not been collected for several days.,Sanitation Department
road full of potholes causing damage to vehicles.,Road Department
Main pipeline leak creating swamp.,Water Supply Department
Pillar has developed major cracks after rain.,Building Department
Cracks appearing on the walls of the building.,Building Department
Pipeline damaged during road work.,Water Supply Department
Pipeline damaged during road work.,Water Supply Department
"Electric cables exposed, risky for pedestrians. please resolve urgently.",Electric Department
Water supply interrupted for two days. please resolve urgently.,Water Supply Department
Manhole cover broken and unsafe.,Sewerage Department
Main pipeline leak creating swamp.,Water Supply Department
balcony railing rusted and may break.,Building Department
Current pole damaged and sparking.,Electric Department
Footpath broken and unsafe for walking.,Road Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Street lights have been off for the past week. please resolve urgently.,Electric Department
Sewage leaking into nearby houses.,Sewerage Department
Drain clogged and water stagnating. please resolve urgently.,Sanitation Department
"garbage dumped on roadside, health hazard.",Sanitation Department
potholes  filled  with  water  after  rain.,Road Department
current pole damaged and sparking.,Electric Department
"speed bump too high, damaging cars. please resolve urgently.",Road Department
Dirty sewer water entering shops after rain.,Sewerage Department
Current pole damaged and sparking.,Electric Department
Waste  blocking  the  drainage  system.,Sanitation Department
Drainage water overflowing in the street.,Sanitation Department
"Roadside barrier broken, safety concern.",Road Department
Sewer line blocked causing overflow.,Sewerage Department
Manhole overflowing with sewage water.,Sewerage Department
Drain clogged and water stagnating.,Sanitation Department
Balcony railing rusted and may break.,Building Department
Dirty sewer water entering shops after rain.,Sewerage Department
electric pole leaning dangerously after storm.,Electric Department
Road full of potholes causing damage to vehicles.,Road Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
pipeline burst causing water wastage.,Water Supply Department
Railing on the staircase is broken and dangerous.,Building Department
uncollected garbage creating foul smell.,Sanitation Department
Sewage leaking into nearby houses.,Sewerage Department
garbage has not been collected for several days. please resolve urgently.,Sanitation Department
power outage since early morning due to faulty wires.,Electric Department
Manhole  cover  broken  and  unsafe.,Sewerage Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Drainage water overflowing in the street. please resolve urgently.,Sanitation Department
